"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"61",0,246,2,0,"0.25,0.2,0.16","03_06_23","11:47:24",31,"TowerW13",476,"WF051806","WF051806-03_06_23-11",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"62",0,246,2,0,"0.25,0.2,0.16","03_06_23","19:14:29",32,"TowerW13",476,"WF051806","WF051806-03_06_23-19",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"63",0,246,2,0,"0.25,0.2,0.16","03_06_23","21:40:19",31,"TowerW13",476,"WF051806","WF051806-03_06_23-21",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"64",0,246,2,0,"0.25,0.2,0.16","03_06_23","23:46:58",32,"TowerW13",476,"WF051806","WF051806-03_06_23-23",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"65",0,246,2,0,"0.25,0.2,0.16","04_06_23","0:56:24",31,"TowerW13",476,"WF051806","WF051806-04_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"66",0,246,2,0,"0.25,0.2,0.16","04_06_23","0:58:15",33,"TowerW13",476,"WF051806","WF051806-04_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"67",0,246,2,0,"0.25,0.21,0.16","31_05_23","9:18:44",32,"TowerW13",476,"WF051806","WF051806-31_05_23-9",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"68",0,246,2,0,"0.25,0.21,0.16","31_05_23","9:27:28",31,"TowerW13",476,"WF051806","WF051806-31_05_23-9",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"69",0,246,2,0,"0.25,0.21,0.16","31_05_23","10:44:06",31,"TowerW13",476,"WF051806","WF051806-31_05_23-10",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"70",0,246,2,0,"0.25,0.21,0.16","31_05_23","12:05:38",32,"TowerW13",476,"WF051806","WF051806-31_05_23-12",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"71",0,246,2,0,"0.25,0.21,0.16","31_05_23","12:09:01",31,"TowerW13",476,"WF051806","WF051806-31_05_23-12",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"72",0,246,2,0,"0.25,0.21,0.16","31_05_23","13:20:12",31,"TowerW13",476,"WF051806","WF051806-31_05_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"73",0,246,2,0,"0.25,0.21,0.16","31_05_23","14:21:38",31,"TowerW13",476,"WF051806","WF051806-31_05_23-14",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"74",0,246,2,0,"0.25,0.21,0.16","31_05_23","14:38:25",32,"TowerW13",476,"WF051806","WF051806-31_05_23-14",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"75",0,246,2,0,"0.25,0.21,0.16","31_05_23","17:44:03",32,"TowerW13",476,"WF051806","WF051806-31_05_23-17",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"76",0,246,2,0,"0.25,0.21,0.16","31_05_23","18:11:48",31,"TowerW13",476,"WF051806","WF051806-31_05_23-18",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"77",0,246,2,0,"0.25,0.21,0.16","31_05_23","18:14:41",31,"TowerW13",476,"WF051806","WF051806-31_05_23-18",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"78",0,246,2,0,"0.25,0.21,0.16","31_05_23","22:07:11",32,"TowerW13",476,"WF051806","WF051806-31_05_23-22",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"79",0,246,2,0,"0.25,0.21,0.16","01_06_23","0:27:11",32,"TowerW13",476,"WF051806","WF051806-01_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"80",0,246,2,0,"0.25,0.21,0.16","01_06_23","1:15:00",32,"TowerW13",476,"WF051806","WF051806-01_06_23-1",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"81",0,246,2,0,"0.25,0.21,0.16","01_06_23","2:34:20",32,"TowerW13",476,"WF051806","WF051806-01_06_23-2",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"82",0,246,2,0,"0.25,0.21,0.16","01_06_23","2:36:10",32,"TowerW13",476,"WF051806","WF051806-01_06_23-2",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"83",0,246,2,0,"0.25,0.21,0.16","01_06_23","2:38:36",32,"TowerW13",476,"WF051806","WF051806-01_06_23-2",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"84",0,246,2,0,"0.25,0.21,0.16","01_06_23","2:55:15",33,"TowerW13",476,"WF051806","WF051806-01_06_23-2",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"85",0,246,2,0,"0.25,0.21,0.16","01_06_23","4:11:24",31,"TowerW13",476,"WF051806","WF051806-01_06_23-4",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"86",0,246,2,0,"0.25,0.21,0.16","01_06_23","7:21:48",32,"TowerW13",476,"WF051806","WF051806-01_06_23-7",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"87",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:00:56",31,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"88",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:02:10",32,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"89",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:12:37",31,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
